Alternate Name	Alternate TSN	Preferred Name	Preferred TSN
Eucorethra underwoodi	125889	Eucorethra	125888
Eukiefferiella brehmi	128704	Eukiefferiella Brehmi Group	-122
Eukiefferiella cf. tirolensis	-127	Eukiefferiella Tirolensis Group	-126
Eukiefferiella claripennis	128693	Eukiefferiella Claripennis Group	-15
Eukiefferiella coerulescens	128701	Eukiefferiella Coerulescens Group	-16
Eukiefferiella pseudomontana	128706	Eukiefferiella Pseudomontana Group	-19
Eukiefferiella similis	553084	Cardiocladius	128511
Eurylophella lodi	568637	Eurylophella	101324
Fallceon quilleri	568601	Fallceon	568551
Ferrisia	200917	Ferrissia	76569
Ferrissia fragilis	76570	Ferrissia	76569
Ferrissia rivularis	76572	Ferrissia	76569
Fluminicola	70778	Truncatelloidea	-228
Forcipomyia	127152	Forcipomyiinae	127112
Fossaria	76497	Lymnaeidae	76483
Frisonia	103171	Frisonia picticeps	103172
Frontipoda americana	83241	Frontipoda	83240
Galba	-182	Lymnaeidae	76483
Gammarus lacustris	93789	Gammarus	93773
Geranomyia	-265	Limoniidae	-233
Glossiphonia complanata	69381	Glossiphonia	69380
Glossiphonia elegans	-224	Glossiphonia	69380
Glossosoma (Anseriglossa)	598802	Glossosoma	117159
Glossosoma alascense	117167	Glossosoma	117159
Glossosoma intermedium	117162	Glossosoma	117159
Glossosoma oregonense	117202	Glossosoma	117159
Glossosoma penitus	117165	Glossosoma	117159
Glossosoma pyroxum	117207	Glossosoma	117159
Glossosoma traviatum	117213	Glossosoma	117159
Glossosoma wenatchee	117220	Glossosoma	117159
Glossosomatinae	598219	Glossosomatidae	117120
Glossosomatini	598243	Glossosomatidae	117120
Glossosomatoidea	598167	Trichoptera	115095
Glutops bandus	130916	Glutops	130915
Glyphopsyche irrorata	116031	Glyphopsyche	116030
Gnorimosphaeroma oregonensis	92296	Gnorimosphaeroma	92295
Goera	116423	Goera archaon	116431
Goeracea genota	116299	Goeracea	116298
Goeracea oregona	116300	Goeracea	116298
Goerinae	568758	Goeridae	115934
Gomphus	101665	Gomphidae	101664
Gonempeda	120631	Limoniidae	-233
Graphoderus	112165	Dytiscidae	111963
Graphoderus liberus	112167	Dytiscidae	111963
Graphoderus perplexus	112168	Dytiscidae	111963
Grensia praeterita	116296	Limnephilidae	115933
Gyraulus deflectus	76594	Gyraulus	76592
Gyraulus parvus	76595	Gyraulus	76592
Gyrinus	112654	Gyrinidae	112653
Gyrinus bifarius	112690	Gyrinidae	112653
Gyrinus consobrinus	112688	Gyrinidae	112653
Gyrinus maculiventris	112662	Gyrinidae	112653
Gyrinus picipes	112659	Gyrinidae	112653
Gyrinus plicifer	112672	Gyrinidae	112653
Haemopis grandis	69409	Haemopis	69408
Hansonoperla	102988	Perlidae	102914
Haploperla	103260	Chloroperlidae	103202
Haploperla chilnualna	103267	Chloroperlidae	103202
Haplotaxida	68498	Haplotaxis	68505
Haplotaxidae	68504	Haplotaxis	68505
Hayesomyia senata	-158	Thienemannimyia Group	-276
Helicopsyche borealis	117020	Helicopsyche	117016
Helicopsychidae	117015	Helicopsyche	117016
Helisoma anceps	76600	Helisoma	76599
Helobdella papillata	69403	Helobdella	69396
Helobdella stagnalis	69398	Helobdella	69396
Helobdella triserialis	69399	Helobdella	69396
Helochares normatus	722315	Helochares	113150
Helodon	-144	Helodon/Prosimulium	-272
Helopelopia	128131	Thienemannimyia Group	-276
Hemerodromiinae	136290	Empididae	135830
Hemerodromiini	136304	Empididae	135830
Heptagenia	100602	Heptageniidae	100504
Hesperoperla	102971	Hesperoperla pacifica	102972
Heterlimnius	114167	Heterlimnius corpulentus	114169
Heterlimnius divergens	114170	Heterlimnius corpulentus	114169
Heterlimnius koebelei	114168	Heterlimnius corpulentus	114169
Heteroplectron	116537	Heteroplectron californicum	116538
Heterotrissocladius marcidus	128744	Heterotrissocladius Marcidus Group	-139
Hexagenia limbata	101552	Hexagenia	101537
Himalopsyche phryganea	608146	Himalopsyche	115243
Hirudinea	69290	Hirudinida	1048708
Hirudinidae	69407	Hirudinida	1048708
Holorusia hespera	-229	Holorusia	118890
Hyalella azteca	94026	Hyalella	94025
Hyalellidae	94022	Hyalella	94025
Hybomitra	131321	Tabanidae	130934
Hydatophylax festivus	608819	Hydatophylax	115995
Hydatophylax hesperus	115998	Hydatophylax	115995
Hydraena	112757	Hydraenidae	112756
Hydridae	50844	Hydra	50845
Hydrobia	70494	Truncatelloidea	-228
Hydrobiidae	70493	Truncatelloidea	-228
Hydroperla	103106	Perlidae	102914
Hydroporini	728229	Hydroporinae	678402
Hydroporus	112390	Hydroporinae	678402
Hydropsyche (Hydropsyche)	598727	Hydropsyche	115453
Hydropsyche californica	115455	Hydropsyche	115453
Hydropsyche occidentalis	115513	Hydropsyche	115453
Hydropsychinae	598191	Hydropsychidae	115398
Hydroptila ajax	115643	Hydroptila	115641
Hydroptila arctia	115695	Hydroptila	115641
Hydroptila consimilis	115647	Hydroptila	115641
Hydroptila lenora	115713	Hydroptila	115641
Hydroptila rono	115666	Hydroptila	115641
Hydroptila xera	115708	Hydroptila	115641
Hydroptilidae sp. AJF#01	-210	Hydroptilidae	115629
Hydroptilidae sp. AJF#02	-211	Hydroptilidae	115629
Hydroptilidae sp. RAI # 0001	-133	Ochrotrichia	115714
Hydrotrupes palpalis	112598	Dytiscidae	111963
Hydrovatus	112257	Hydroporinae	678402
Hydrozetes	553094	Oribatida	733326
Hydrozoa	48739	Hydra	50845
Hygrotus	112200	Hydroporinae	678402
Hygrotus sayi	112205	Hydroporinae	678402
Hygrotus tumidiventris	112224	Hydroporinae	678402
Ilybiosoma	728239	Agabinae	728212
Ilybius	112181	Agabinae	728212
Ilybius fraterculus	112182	Agabinae	728212
Ilybius quadrimaculatus	112184	Agabinae	728212
Ilyodrilus templetoni	68662	Ilyodrilus	68660
