"","alternate_name","alternate_tsn","preferred_name","preferred_tsn","rationale","otu_metric_calc","otu_bcg_orwa","otu_bcg_orwa_worms","Taxon.Serial.Number.x","Rank.x","Phylum.x","Subphylum.x","Superclass.x","Class.x","Subclass.x","Infraclass.x","Superorder.x","Order.x","Suborder.x","Infraorder.x","Superfamily.x","Family.x","Subfamily.x","Custom.Subfamily.x","Tribe.x","Genus.Group.x","Subtribe.x","Genus.x","Species.Group.x","Subgenus.x","Species.x","Subspecies.x","Taxon.Serial.Number.y","Rank.y","Phylum.y","Subphylum.y","Superclass.y","Class.y","Subclass.y","Infraclass.y","Superorder.y","Order.y","Suborder.y","Infraorder.y","Superfamily.y","Family.y","Subfamily.y","Custom.Subfamily.y","Tribe.y","Genus.Group.y","Subtribe.y","Genus.y","Species.Group.y","Subgenus.y","Species.y","Subspecies.y"
"265","Cordulegastridae",NA,NA,NA,"Only genus in family in the west","Cordulegaster","Cordulegaster","Cordulegaster",102026,"Family","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Cordulegastridae","","","","","","","","","","",102026,"Family","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Cordulegastridae","","","","","","","","","",""
"302","Cystobranchus salmositicus",NA,NA,NA,"STE is genus to be conservative; only one western species known so far","Cystobranchus","Cystobranchus","Cystobranchus",-156,"Species","Annelida","","","Clitellata","Hirudinea","Euhirudinea","","Rhynchobdellida","","","","Piscicolidae","Piscicolinae","","","","","Cystobranchus","","","salmositicus","",-156,"Species","Annelida","","","Clitellata","Hirudinea","Euhirudinea","","Rhynchobdellida","","","","Piscicolidae","Piscicolinae","","","","","Cystobranchus","","","salmositicus",""
"314","Desmona mono",NA,NA,NA,"Single species","Monophylax mono","Monophylax mono","Monophylax mono",605400,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Desmona","","","mono","",605400,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Desmona","","","mono",""
"358","Drunella grandis/spinifera",NA,NA,NA,"Formatting and consistency","Drunella Grandis Group","Drunella Grandis Group","Drunella Grandis Group",-11,"Species Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Drunella","Drunella grandis/spinifera","","","",-11,"Species Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Drunella","Drunella grandis/spinifera","","",""
"393","Eobrachycentrus",NA,NA,NA,"Single sp.  E. gelidae","Eobrachycentrus gelidae","Eobrachycentrus gelidae","Eobrachycentrus gelidae",116971,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Eobrachycentrus","","","","",116971,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Brachycentridae","","","","","","Eobrachycentrus","","","",""
"429","Estelloxus",NA,NA,NA,"nomenclature","Lebertia","Lebertia","Lebertia",83048,"Genus","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Lebertiidae","","","","","","Estelloxus","","","","",83048,"Genus","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Lebertiidae","","","","","","Estelloxus","","","",""
"432","Eucorethra",NA,NA,NA,"Single species in Genus","Eucorethra underwoodi","Eucorethra underwoodi","Eucorethra underwoodi",125888,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chaoboridae","Eucorethrinae","","","","","Eucorethra","","","","",125888,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chaoboridae","Eucorethrinae","","","","","Eucorethra","","","",""
"469","Frontipoda",NA,NA,NA,"synonym of Oxus","Oxus","Oxus","Oxus",83240,"Genus","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Oxidae","","","","","","Frontipoda","","","","",83240,"Genus","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Oxidae","","","","","","Frontipoda","","","",""
"471","Gammaridae",NA,NA,NA,NA,"Amphipoda","Amphipoda","Amphipoda",93745,"Family","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Gammaridae","","","","","","","","","","",93745,"Family","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Gammaridae","","","","","","","","","",""
"503","Goera archaon",NA,NA,NA,"not all larvae of North American species have been described, genus level","Goera","Goera","Goera",116431,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Goeridae","Goerinae","","","","","Goera","","","archaon","",116431,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Goeridae","Goerinae","","","","","Goera","","","archaon",""
"575","Himalopsyche",NA,NA,NA,"single species in genus","Himalopsyche phryganea","Himalopsyche phryganea","Himalopsyche phryganea",115243,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Rhyacophiloidea","Rhyacophilidae","","","","","","Himalopsyche","","","","",115243,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Rhyacophiloidea","Rhyacophilidae","","","","","","Himalopsyche","","","",""
"580","Holorusia",NA,NA,NA,"monotypic","Holorusia hespera","Holorusia hespera","Holorusia hespera",118890,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Tipulinae","","","","","Holorusia","","","","",118890,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Tipulinae","","","","","Holorusia","","","",""
"583","Hornectes quadrimaculatus",NA,NA,NA,"Genera within Hydroporinae in flux best to leave at subfamily","Hydroporinae","Hydroporinae","Hydroporinae",1157143,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","Deronectina","Hornectes","","","quadrimaculatus","",1157143,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","Hydroporini","","Deronectina","Hornectes","","","quadrimaculatus",""
"601","Hydrobius",NA,NA,NA,"monotypic","Hydrobius fuscipes","Hydrobius fuscipes","Hydrobius fuscipes",113196,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Hydrophilini","","","Hydrobius","","","","",113196,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Hydrophilini","","","Hydrobius","","","",""
"612","Hydropsyche breviculata",NA,NA,NA,"this species is known from Taiwan and not known from NA","Hydropsyche","Hydropsyche","Hydropsyche",599778,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Hydropsyche","","Hydropsyche","breviculata","",599778,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Hydropsyche","","Hydropsyche","breviculata",""
"617","Hydroptila brailovskyi",NA,NA,NA,"known from Costa Rica and Mexico","Hydroptila","Hydroptila","Hydroptila",606441,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","brailovskyi","",606441,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","brailovskyi",""
"618","Hydroptila catamarcensis",NA,NA,NA,"known from Argentina","Hydroptila","Hydroptila","Hydroptila",606454,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","catamarcensis","",606454,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","catamarcensis",""
"749","Margaritiferidae",NA,NA,NA,NA,"Margaritifera falcata","Margaritifera falcata","Margaritifera falcata",79914,"Family","Mollusca","","","Bivalvia","Palaeoheterodonta","","","Unionoida","","","","Margaritiferidae","","","","","","","","","","",79914,"Family","Mollusca","","","Bivalvia","Palaeoheterodonta","","","Unionoida","","","","Margaritiferidae","","","","","","","","","",""
"778","Microtendipes pedellus",NA,NA,NA,NA,NA,NA,NA,129541,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Microtendipes","","","pedellus","",129541,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Microtendipes","","","pedellus",""
"779","Microtendipes pedellus aberrans",NA,NA,NA,"sub species","Microtendipes Pedellus Group","Microtendipes Pedellus Group","Microtendipes Pedellus Group",129546,"Subspecies","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Microtendipes","","","pedellus","aberrans",129546,"Subspecies","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Microtendipes","","","pedellus","aberrans"
"800","Musculium",NA,NA,NA,"nomenclature","Musculium/Sphaerium","Musculium/Sphaerium","Musculium/Sphaerium",81427,"Genus","Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Pisidiidae","","","","","","Musculium","","","","",81427,"Genus","Mollusca","","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Pisidiidae","","","","","","Musculium","","","",""
"808","Nais behningi",NA,NA,NA,NA,"Nais","Oligochaeta","Naidinae",68949,"Species","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Nais","","","behningi","",68949,"Species","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Naididae","","","","","","Nais","","","behningi",""
"816","Nasiternella",NA,NA,NA,NA,NA,NA,NA,121112,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Pediciini","","","Nasiternella","","","","",121112,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Pediciini","","","Nasiternella","","","",""
"859","Octogomphus",NA,NA,NA,"monotypic","Octogomphus specularis","Octogomphus specularis","Octogomphus specularis",101736,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Octogomphus","","","","",101736,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","Gomphidae","","","","","","Octogomphus","","","",""
"873","Onconeura",NA,NA,NA,NA,NA,NA,NA,-279,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Onconeura","","","","",-279,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Onconeura","","","",""
"884","Orconectes",NA,NA,NA,"nomenclature","Faxonius","Faxonius","Faxonius",97421,"Genus","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","","","",97421,"Genus","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","","",""
"885","Orconectes",NA,NA,NA,"nomenclature, trailing space","Faxonius","Faxonius","Faxonius",97421,"Genus","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","","","",97421,"Genus","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","","",""
"886","Orconectes (Faxonius)",NA,NA,NA,"Faxonius all Orconectes are cave dwelling, but we started this long before that change occurred","Faxonius","Faxonius","Faxonius",650284,"Subgenus","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","Faxonius","","",650284,"Subgenus","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Cambaridae","Cambarinae","","","","","Orconectes","","Faxonius","",""
"897","Orimarga",NA,NA,NA,NA,"Limoniidae","Limoniidae","Limoniidae",120019,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Limoniini","","","Orimarga","","","","",120019,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Limoniini","","","Orimarga","","","",""
"906","Orthocladius (Euorthocladius)",NA,NA,NA,NA,"Orthocladius","Orthocladius","Orthocladius",568520,"Subgenus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","Euorthocladius","","",568520,"Subgenus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","Euorthocladius","",""
"908","Orthocladius (Symposiocladius)",NA,NA,NA,NA,"Orthocladius","Orthocladius","Orthocladius",568523,"Subgenus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","Symposiocladius","","",568523,"Subgenus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Orthocladius","","Symposiocladius","",""
"909","Orthocladius complex",NA,NA,NA,NA,"Cricotopus/Orthocladius","Cricotopus/Orthocladius","Cricotopus/Orthocladius",-25,"Genus Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","Orthocladius complex","","","","","","",-25,"Genus Group","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","Orthocladius complex","","","","","",""
"914","Oxidae",NA,NA,NA,"Smit 2020 Oxus now the only genus in family in North America","Oxus","Oxus","Oxus",83239,"Family","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Oxidae","","","","","","","","","","",83239,"Family","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Oxidae","","","","","","","","","",""
"922","Pacifastacus okanaganensis",NA,NA,NA,NA,NA,NA,NA,-281,"Species","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Astacidae","","","","","","Pacifastacus","","","okanaganensis","",-281,"Species","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Astacidae","","","","","","Pacifastacus","","","okanaganensis",""
"944","Parakiefferiella ferringtoni",NA,NA,NA,NA,NA,NA,NA,-285,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","","","","Parakiefferiella ferringtoni","",-285,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","","","","Parakiefferiella ferringtoni",""
"1000","Phaenopsectra obediens",NA,NA,NA,NA,NA,NA,NA,129647,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Phaenopsectra","","","obediens","",129647,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Phaenopsectra","","","obediens",""
"1001","Phaenopsectra punctipes",NA,NA,NA,NA,NA,NA,NA,129652,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Phaenopsectra","","","punctipes","",129652,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Phaenopsectra","","","punctipes",""
"1009","Physella",NA,NA,NA,NA,"Physa/Physella","Physa/Physella","Physa/Physella",76698,"Genus","Mollusca","","","Gastropoda","","","","Basommatophora","","","","Physidae","","","","","","Physella","","","","",76698,"Genus","Mollusca","","","Gastropoda","","","","Basommatophora","","","","Physidae","","","","","","Physella","","","",""
"1047","Polycentropus",NA,NA,NA,NA,"Polycentropus sensu lato","Polycentropus sensu lato","Polycentropus sensu lato",117044,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Polycentropodidae","Polycentropodinae","","","","","Polycentropus","","","","",117044,"Genus","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Polycentropodidae","Polycentropodinae","","","","","Polycentropus","","","",""
"1107","Psychoglypha bella",NA,NA,NA,"Wisseman et al. (in prep) is working on a key to separate out several species and groups that are widespread and common in PNW streams, but for now genus is the STE.","Psychoglypha","Psychoglypha","Psychoglypha",115977,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","bella","",115977,"Species","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Limnephilidae","Limnephilinae","","Chilostigmini","","","Psychoglypha","","","bella",""
