Subkingdom	Phylum	Subphylum	Superclass	Class	Subclass	Infraclass	Superorder	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Custom Subfamily	Tribe	Genus Group	Subtribe	Genus	Species Group	Subgenus	Species	Subspecies	Taxon Name	TSN	Taxonomic Rank	Fore Wisseman 2012-Clinger	Fore Wisseman 2012-Intolerant	Fore Wisseman 2012-Long Lived	Fore Wisseman 2012-Predator	Fore Wisseman 2012-Tolerant
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Dytiscidae	Laccophilinae		Laccophilini			Laccophilus					Laccophilus	112278	Genus	False	False	False	True	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Haliplidae											Haliplidae	111857	Family	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Haliplidae						Brychius					Brychius	111947	Genus	True	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Haliplidae						Haliplus					Haliplus	111858	Genus	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Haliplidae						Peltodytes					Peltodytes	111923	Genus	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Myxophaga			Microsporidae											Microsporidae	678313	Family	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Curculionidae											Curculionidae	114666	Family	False	False	False	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae											Elmidae	114093	Family	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Ampumixis					Ampumixis	114196	Genus	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Ampumixis			dispar		Ampumixis dispar	114197	Species	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Cleptelmis					Cleptelmis	114164	Genus	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Cleptelmis			addenda		Cleptelmis addenda	114166	Species	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Cleptelmis			ornata		Cleptelmis ornata	114165	Species	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Heterlimnius					Heterlimnius	114167	Genus	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Heterlimnius			corpulentus		Heterlimnius corpulentus	114169	Species	True	False	True	False	False
	Arthropoda	Hexapoda		Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia	Byrrhoidea	Elmidae						Heterlimnius			koebelei		Heterlimnius koebelei	114168	Species	True	False	True	False	False
